date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:25:58	151172/151172	---M--	200	added ('OK')	image/jpeg	etag:%225a2324e3-24e84%22	http://project-redspace.com/images/video-seatingconfig-poster.jpg	C:/My%20Web%20Sites/redspace/project-redspace.com/images/video-seatingconfig-poster.jpg	(from http://project-redspace.com/)
11:27:09	650966/650966	---M--	200	added ('OK')	video/mp4	etag:%225a1ee249-9eed6%22	http://project-redspace.com/videos/video-dashboard.mp4	C:/My%20Web%20Sites/redspace/project-redspace.com/videos/video-dashboard.mp4	(from http://project-redspace.com/)
11:27:09	1092669/1092669	---M--	200	added ('OK')	image/jpeg	etag:%225a2324ce-10ac3d%22	http://project-redspace.com/images/photo-subjourney-citytilt.jpg	C:/My%20Web%20Sites/redspace/project-redspace.com/images/photo-subjourney-citytilt.jpg	(from http://project-redspace.com/)
11:27:32	138533/138533	---M--	200	added ('OK')	image/jpeg	etag:%225a2324c5-21d25%22	http://project-redspace.com/images/photo-subcar-seating.jpg	C:/My%20Web%20Sites/redspace/project-redspace.com/images/photo-subcar-seating.jpg	(from http://project-redspace.com/)
11:27:35	146413/146413	---M--	200	added ('OK')	image/jpeg	etag:%225a2324e6-23bed%22	http://project-redspace.com/images/video-solarpanels-poster.jpg	C:/My%20Web%20Sites/redspace/project-redspace.com/images/video-solarpanels-poster.jpg	(from http://project-redspace.com/)
11:34:29	2573414/2573414	---M--	200	added ('OK')	video/mp4	etag:%225a1ee4d9-274466%22	http://project-redspace.com/videos/video-solarpanels.mp4	C:/My%20Web%20Sites/redspace/project-redspace.com/videos/video-solarpanels.mp4	(from http://project-redspace.com/)
11:34:44	2653583/2653583	---M--	200	added ('OK')	video/webm	etag:%225a1ee4e0-287d8f%22	http://project-redspace.com/videos/video-solarpanels.webm	C:/My%20Web%20Sites/redspace/project-redspace.com/videos/video-solarpanels.webm	(from http://project-redspace.com/)
11:35:07	132365/132365	---M--	200	added ('OK')	image/jpeg	etag:%225a2324e2-2050d%22	http://project-redspace.com/images/video-raincover-poster.jpg	C:/My%20Web%20Sites/redspace/project-redspace.com/images/video-raincover-poster.jpg	(from http://project-redspace.com/)
11:35:12	253713/253713	---M--	200	added ('OK')	image/jpeg	etag:%225a2324c6-3df11%22	http://project-redspace.com/images/photo-subcar-solar.jpg	C:/My%20Web%20Sites/redspace/project-redspace.com/images/photo-subcar-solar.jpg	(from http://project-redspace.com/)
11:38:54	4948172/4948172	---M--	200	added ('OK')	video/mp4	etag:%225a1ee4c1-4b80cc%22	http://project-redspace.com/videos/video-seatingconfig.mp4	C:/My%20Web%20Sites/redspace/project-redspace.com/videos/video-seatingconfig.mp4	(from http://project-redspace.com/)
